id_venda,data,cliente,categoria,canal,uf,quantidade,preco_unit,desconto_pct,valor_total
29,2024-02-23,CLI-0143,Mercearia,Loja,,1,3.03,0.78,3.01
30,2024-10-17,CLI-0118,Hortifruti,Loja,MG,2,22.05,1.49,43.44
31,2024-06-04,CLI-0133,MERCEARIA,,SP,2,3.76,sem informacao,7.38
32,2024-08-24,CLI-0018,Limpeza,,ES,1,4.00,1.33,3.95
33,06/06/2024,CLI-0058,  Limpeza ,Loja,RJ,1,90.54,,89.88
34,2024-07-25,CLI-0138,Bebidas,--,CE,3,77.42,4.37,222.11
35,2024-07-11,CLI-0169,Bebidas,Loja,SP,1,2.66,0.61,2.64
36,2024-07-24,CLI-0209,Higiene,Loja,RJ,1,12.65,0.13,12.63
37,2024-03-16,CLI-0234,Higiene,Televendas,,2,6.27,2.30,12.25
38,27/07/2024,CLI-0172,Hortifruti,Loja,BA,4,sem informacao,5.10,38.38
39,2024-07-18,CLI-0167,Higiene,,RS,1,,1.31,68.58
40,2024-05-21,CLI-0134,Frios,Loja,RJ,2,144.96,2.85,281.66
41,2024-08-14,CLI-0122,Frios,Site,,1,6.70,0.00,6.70
42,2024-08-18,CLI-0226,Hortifruti,App,go,1,26.77,0.16,26.73
43,2024-06-21,CLI-0111,Bebidas,Site,MG,3,128.99,3.69,372.69
44,2024-09-19,CLI-0094,Limpeza,Loja,SP,1,,1.18,4.67
45,2024-11-02,CLI-0068,Padaria,Loja,PE,1,1.50,1.28,1.48
46,2024-08-17,CLI-0060,Frios,App,RS,1,14.38,0.00,14.38
47,2024-04-12,CLI-0028,Mercearia,Site,,2,36.14,2.65,70.36
48,2024-09-09,CLI-0061,Frios,Loja,RJ,1,--,0.00,6.04
49,2024-12-28,CLI-0184,Padaria,sem informacao,,3,,4.35,14.43
50,2024-05-17,CLI-0194,Bebidas,App,SP,1,25.37,--,25.37
51,2024-11-14,CLI-0139,Hortifruti,Site,SP,1,60.58,0.63,60.20
52,2024-03-16,CLI-0139,Hortifruti,Loja,RS,3,2.07,2.21,6.07
53,2024-12-03,CLI-0071,Limpeza,APP,RS,8,,sem informacao,29.00
54,2024-04-29,CLI-0046,Hortifruti,App,MG,5,2.98,,13.85
55,2024-07-04,CLI-0053,Bebidas,App,  AM ,1,2.62,0.00,2.62
56,2024-07-05,CLI-0208,Padaria,Site,PB,1,?,0.00,28.63
57,2024-03-15,CLI-0125,Limpeza,,,2,17.84,0.00,35.68
58,2024-11-11,CLI-0167,Mercearia,Loja,SP,2,6.77,0.07,13.53
59,2024-11-25,CLI-0138,Hortifruti,Site,RS,1,,0.00,38.10
60,2024-07-06,CLI-0001,Limpeza,Site,PE,1,34.00,0.69,33.77
61,2024-03-08,CLI-0226,Mercearia,,RS,1,194.32,0.00,194.32
62,2024-01-17,CLI-0031,Limpeza,Site,,2,17.47,2.41,34.10
63,2024-08-05,CLI-0016,Higiene,App,,1,19.63,0.06,19.62
64,2024-06-27,CLI-0247,Padaria,Site,PR,5,21.60,8.27,99.07
65,2024-12-19,CLI-0249,Hortifruti,Televendas,,1,38.26,,38.26
66,2024-06-28,CLI-0114,Frios,Site,,1,101.36,1.52,99.82
67,2024-08-27,CLI-0035,Mercearia,Loja,SP,3,,2.33,45.24
68,2024-08-15,CLI-0185,Mercearia,Site,CE,2,222.30,0.00,444.60
69,2024-09-07,CLI-0096,Frios,Loja,MG,6,,9.41,263.18
70,2024-08-19,CLI-0149,Mercearia,,SP,12,,16.47,382.40
71,2024-08-23,CLI-0148,Hortifruti,Loja,RJ,5,16.34,5.35,77.33
72,2024-12-23,CLI-0158,Bebidas,,BA,2,65.56,3.06,127.11
73,2024-10-09,CLI-0009,Bebidas ,Loja,SP,6,2.65,8.27,14.59
74,22/01/2024,CLI-0087,Hortifruti,Site,SC,2,1.90,,3.78
75,2024-09-28,CLI-0146,Padaria,,,3,23.23,2.97,67.62
76,2024-08-03,CLI-0184,Mercearia,Site,,1,4.75,,475.00
77,2024-12-03,  CLI-0245 ,Higiene,Loja,PR,1,,1.41,34.08
78,2024-09-10,CLI-0038,Mercearia,App,SP,6,34.16,7.53,189.53
79,2024-12-25,CLI-0248,Limpeza,Televendas,,3,4.00,2.37,11.72
80,2024-12-18,CLI-0055,Mercearia,App,RJ,2,9.81,,19.45
81,2024-12-11,CLI-0045,Padaria,Loja,MG,2,13.28,1.89,26.06
82,2024-11-25,CLI-0111 ,  Padaria ,Site,GO,3,63.58,3.74,183.61
83,2024-06-15,CLI-0002,Padaria,Site,SP,2,23.17,2.39,45.23
84,2024-05-19,CLI-0011,Mercearia,?,RJ,3,3.46,3.13,10.06
85,2024-09-13,CLI-0086,BEBIDAS,Site,rs,1,4.27,N/A,4.27
86,2024-08-13,CLI-0222,Limpeza,App,RJ,1,4.09,1.29,4.04
87,2024-12-14,CLI-0236,Limpeza,Loja,,3,,2.93,143.07
88,17/05/2024,CLI-0215,Bebidas,App,SP,1,35.95,0.00,35.95
89,2024-07-14,CLI-0132,Limpeza,,PR,2,149.09,3.08,289.00
90,2024-11-19,CLI-0135,Bebidas,Loja,,2,140.77,1.42,277.54
91,2024-04-28,CLI-0060,Mercearia,,PA,5,,6.87,310.03
92,2024-06-29,CLI-0056,Limpeza,Site,AM,2,33.14,,65.37
93,2024-01-16,CLI-0132,Bebidas,Loja,CE,1,2.82,,2.82
94,2024-05-18,CLI-0073,Higiene,Site,PE,2,15.86,1.94,31.10
95,2024-04-06,CLI-0011,Bebidas,App,ES,1,12.08,0.91,11.97
96,2024-07-29,CLI-0055,Bebidas,Site,GO,1,121.84,,119.77
97,2024-06-14,CLI-0121,Mercearia,Loja,RJ,1,,NULL,17.59
98,2024-01-07,CLI-0173,Higiene,-,SP,1,-,1.05,5.22
99,2024-12-23,CLI-0206,Frios,App,MG,3,,-,26.49
100,2024-01-01,CLI-0003,Frios,App,N/A,1,171.12,1.63,168.33
101,2024-09-02,CLI-0004,Padaria,Loja,CE,3,,4.52,69.18
102,2024-03-23,CLI-0248,Limpeza,Loja,PA,1,4.07,,4.06
103,2024-03-16,CLI-0239,Bebidas,App,,6,,9.80,13.58
104,2024-10-08,CLI-0136,Bebidas,Loja,RS,1,6.49,0.36,6.47
105,2024-08-28,CLI-0105,Padaria,,RS,3,,4.38,178.80
106,2024-03-23,CLI-0152,Limpeza,sem informacao,SP ,1,133.04,0.39,132.52
107,2024-07-23,CLI-0021,Limpeza,,PE,2,10.81,2.08,21.17
108,2024-08-25,CLI-0037,Padaria,App,CE,2,56.75,1.49,111.81
109,2024-08-27,CLI-0231,Mercearia,Loja,MG,6,225.32,NULL,1221.59
110,2024-02-05,CLI-0086,Limpeza,App,CE,2,7.10,2.44,13.85
111,2024-05-10,CLI-0075,Higiene,,MG,4,,4.07,493.54
112,2024-05-14,CLI-0065,Mercearia,Loja,SP,3,3.01,,8.88
113,2024-10-18,CLI-0161,Bebidas,App,RJ,2,31.96,null,62.67
114,2024-04-20,CLI-0092,Hortifruti,App,--,3,N/A,3.63,85.17
115,2024-12-25,CLI-0089,Mercearia,,PR,1,NULL,0.00,19.47
116,2024-08-23,CLI-0149 ,Hortifruti,Site,PA,5,67.67,6.58,316.09
117,2024-05-22,CLI-0033,Frios,Loja,SP,3,6.05,,17.41
118,2024-03-02,CLI-0180,Mercearia,Loja,MG,8,,,113.93
119,2024-10-23,CLI-0181,Mercearia,,SP,1,,,14.40
120,2024-11-22,CLI-0224,Limpeza,Loja,SP,3,40.52,4.34,116.28
121,2024-08-17,CLI-0205,Padaria,Site,ES,2,,0.15,137.43
122,2024-11-16,CLI-0099,Hortifruti,App,SC,1,2.87,null,2.86
123,2024-11-12,CLI-0242,Mercearia,Loja,RJ,1,,1.66,38.59
124,2024-07-26,CLI-0072,Limpeza,Loja,RJ,5,,8.33,18.79
125,2024-08-30,CLI-0248,Mercearia,Loja,PA,1,5.12,,5.09
126,2024-05-21,CLI-0089,Hortifruti,,N/A,2,,1.60,29.48
127,2024-06-23,CLI-0155,Limpeza,Site,SC,3,5.60,,16.47
128,2024-04-30,CLI-0070,Bebidas,App,CE,2,2.68,0.00,5.36
129,2024-07-01,CLI-0141,Bebidas,App,,1,21.67,0.09,21.65
130,2024-11-03,CLI-0131,Higiene,Loja,CE,4,3.50,3.40,13.52
131,2024-04-09,CLI-0156,Mercearia,App,RJ,1,,0.83,26.25
132,2024-09-25,cli-0214,Higiene,Site,PE,6,96.13,7.69,532.43
133,2024-03-12,CLI-0243,Bebidas ,Site,?,1,45.25,0.80,44.89
134,2024-12-23,CLI-0159,Mercearia,App,BA,1,?,,3.02
135,2024-10-05,CLI-0151,Hortifruti,App,GO,4,68.77,6.37,257.56
136,2024-05-17,CLI-0053,Limpeza,Loja,PE,1,--,0.64,11.72
137,2024-03-21,CLI-0236,Hortifruti,,SP,1,1.90,1.69,1.87
138,2024-05-05,  CLI-0043 ,Mercearia,,,1,,0.29,100.32
139,2024-11-24,CLI-0062,Hortifruti,App,PE,3,41.93,,122.76
140,2024-05-30,CLI-0085,Mercearia,Televendas,SC,2,3.93,3.10,7.62
141,2024-12-12,CLI-0101,Hortifruti,,PA,2,,2.83,4.72
142,2024-01-24,CLI-0219,Bebidas,Site,RS,1,12.73,0.00,12.73
143,2024-01-28,CLI-0100,Bebidas,Loja,PA,6,,8.17,27.77
144,2024-05-01,CLI-0121,Limpeza,Loja,MG,3,6.83,,19.47
145,2024-07-14,CLI-0037,Bebidas,App,SP,3,,3.45,75.74
146,2024-12-23,CLI-0085 ,Mercearia,Loja,MG,2,,1.72,10.79
147,2024-06-12,CLI-0071,Bebidas,Site,SP,1,75.30,0.00,75.30
148,2024-06-07,CLI-0055,Higiene,?,RS,2,null,3.14,77.74
149,2024-03-13,  CLI-0165 ,Padaria,,RJ,3,,3.53,39.36
150,2024-04-02,CLI-0124,Limpeza,,SP,2,11.99,1.05,23.73
151,2024-03-28,CLI-0108,Mercearia,Loja,SP,4,6.39,6.08,24.01
152,2024-08-30,CLI-0207,Limpeza,Loja,?,1,,0.00,31.81
153,2024-07-24,CLI-0156,Mercearia,,SC,2,47.28,1.24,93.39
154,2024-03-28,CLI-0161,Padaria,,--,4,73.57,3.78,283.16
155,08/03/2024,CLI-0073,Bebidas,App ,BA,2,67.18,2.02,131.65
156,2024-11-15,CLI-0004,Mercearia,Loja,PE,5,236.26,sem informacao,1102.86
157,2024-12-02,CLI-0209,Mercearia,Loja,RJ,2,3.04,2.92,5.90
158,09/08/2024,CLI-0121,Bebidas,,RJ,3,9.29,,26.66
159,2024-09-24,CLI-0054,Frios,Loja,MG,1,7.20,0.99,7.13
160,2024-07-21,CLI-0040,Padaria,App,sem informacao,4,24.00,null,92.83
161,2024-01-08,CLI-0123,Hortifruti,Loja,RJ,1,,0.00,1.91
162,2024-02-05,CLI-0022,Hortifruti,Televendas,RJ,2,9.42,,18.20
163,2024-07-29,CLI-0183,Bebidas,Loja,SP,1,2.59,,2.57
164,2024-05-20,cli-0111,Bebidas,Loja,SP,1,78.78,1.61,77.51
165,2024-05-28,CLI-0116,Bebidas,Loja,AM,3,,,474.32
166,2024-05-31,CLI-0235,Bebidas,App,,1,,0.39,55.69
167,2024-06-06,CLI-0232,Mercearia,Site,,1,5.29,0.00,5.29
168,2024-12-09,CLI-0091,Bebidas,App,RJ,2,10.87,,2138.00
169,2024-12-22,CLI-0201,Hortifruti,Site,SP,1,1.91,0.05,1.91
170,2024-01-11,CLI-0183,Hortifruti,,PR,2,29.38,3.01,56.99
171,2024-03-04,CLI-0141,Hortifruti,Loja,,8,null,10.34,79.12
172,2024-06-14,CLI-0068,Bebidas,,ES,2,157.77,0.46,314.09
173,2024-09-21,CLI-0249,Limpeza,Loja,SP,2,4.61,3.30,8.92
174,2024-07-14,CLI-0074,Mercearia,,,1,24.89,0.00,24.89
175,2024-12-27,CLI-0108,Bebidas,Site,MA,1,2.57,0.13,2.57
176,29/08/2024,CLI-0013,Higiene,Loja,MG,2,,,126.46
177,2024-02-13,CLI-0077,Higiene,App,SP,2,68.43,1.90,134.26
178,2024-10-01,CLI-0219,Bebidas,,RJ,1,147.14,0.15,146.92
179,2024-03-24,CLI-0076,Bebidas,,SP,4,157.02,4.27,601.26
180,2024-03-17,CLI-0047,Mercearia,Televendas,SP,2,3.21,0.55,6.38
181,2024-03-28,CLI-0224,Higiene,Loja,SP,3,,3.37,24.15
182,2024-09-12,CLI-0164,Bebidas,App,CE,1,25.73,,25.73
183,2024-02-01,CLI-0043,Bebidas,null,PE,2,61.85,,122.50
184,2024-02-13,CLI-0087,Frios,,MG,3,11.74,1.95,34.53
185,2024-08-15,CLI-0120 ,Padaria,Site,,1,33.42,0.69,33.19
186,2024-02-03,CLI-0236,Frios,sem informacao,BA,3,99.89,2.15,293.23
187,2024-01-03,CLI-0001,  Hortifruti ,Loja,BA,5,67.49,,310.56
188,2024-11-09,CLI-0167,Bebidas,,SP,2,,1.24,296.89
189,2024-05-03,CLI-0088,Bebidas,App,PA,1,130.58,,130.58
190,2024-10-04,CLI-0245,Higiene,Site,SC,1,,0.81,117.35
191,2024-03-27,CLI-0024,Hortifruti,App,RJ,2,10.66,2.85,20.71
192,2024-12-18,CLI-0035,Bebidas,App,PR,2,,2.21,85.59
193,2024-05-12,CLI-0036,Padaria,Loja,MG,1,1.60,0.00,1.60
194,2024-10-23,CLI-0011,Bebidas,Site,,1,,1.03,2.47
195,2024-03-28,CLI-0168,Mercearia,Loja,PB,2,43.05,2.31,84.11
196,2024-05-20,CLI-0044,Padaria,Site,ES,3,,1.65,4.54
197,02/12/2024,CLI-0122,Hortifruti,Loja,PR,2,,2.67,3.72
198,2024-01-25,CLI-0171,Frios,Loja,AM,8,6.52,-,45.78
199,2024-08-18,CLI-0170,mercearia,,SP,4,8.29,5.72,31.26
200,2024-08-31,CLI-0061,Bebidas,App,,4,,6.24,94.32
201,2024-07-31,CLI-0140,Bebidas,Loja,SP,6,48.54,7.54,269.28
202,2024-08-17,CLI-0048,Bebidas,Loja,SP,1,29.54,1.19,29.19
203,2024-02-27,CLI-0151,Bebidas,App,SP,1,?,NULL,17.95
204,2024-09-21,CLI-0012,Bebidas,,CE,1,?,,95.97
205,13/05/2024,CLI-0182,Padaria,Loja,MG,2,1.52,1.54,2.99
206,2024-12-26,CLI-0038,padaria,App,RS,6,15.53,9.56,84.27
207,2024-11-26,CLI-0114,Bebidas,Loja,BA ,2,,,302.55
208,2024-07-06,CLI-0135,Mercearia,App ,SC,1,7.95,0.00,7.95
209,2024-09-18,CLI-0053,Mercearia,,MG,6,58.86,,325.97
210,2024-04-26,CLI-0011,Hortifruti,App,SP,5,10.00,6.81,46.60
211,2024-11-25,CLI-0115,Limpeza,Site,,3,90.24,2.87,262.95
212,2024-04-08,CLI-0189,Frios,Loja,SP,3,18.29,3.88,52.74
213,2024-05-28,CLI-0249,LIMPEZA,Loja,MA,1,13.88,,13.88
214,2024-10-26,CLI-0242,Bebidas,App,SP,3,70.45,,206.89
215,2024-01-22,CLI-0013 ,Bebidas,Loja,SP,5,162.55,4.80,773.74
216,2024-12-28,CLI-0239,Hortifruti,,GO,2,58.85,2.25,115.05
217,2024-03-08,CLI-0137,Hortifruti,Loja,RJ,2,13.57,0.78,26.93
218,2024-05-30,CLI-0132,Bebidas,App,N/A,3,101.63,3.72,293.55
219,2024-07-22,CLI-0044,Limpeza,Loja,RJ,1,5.39,0.00,5.39
220,09/02/2024,CLI-0213,Frios,,NULL,3,66.16,4.61,189.33
221,2024-02-11,CLI-0084,Higiene,App,MG,1,92.32,0.00,92.32
222,2024-09-01,CLI-0034,Limpeza,Loja,,2,50.56,null,101.08
223,2024-03-11,CLI-0145,Limpeza,Loja,?,1,148.19,0.00,148.19
224,2024-09-01,CLI-0245,Bebidas,,,3,sem informacao,2.76,15.69
225,2024-05-11,CLI-0032,Limpeza ,Loja,--,1,90.83,0.00,90.83
226,2024-04-17,CLI-0068,Limpeza,,RJ,1,5.75,1.48,5.66
227,2024-05-14,CLI-0248,Bebidas,,RJ,4,4.01,,15.44
228,2024-06-10,CLI-0008,Frios,Site,PA,2,57.52,-,112.56
229,2024-08-11,CLI-0245,Padaria,sem informacao,  SP ,6,--,7.60,371.23
230,2024-04-12,CLI-0173,Mercearia,Loja,--,2,,1.45,446.29
231,2024-03-15,CLI-0121,Frios,Site,,4,7.27,5.12,27.59
232,07/06/2024,CLI-0141,Bebidas,Loja,RS,1,19.35,0.00,19.35
233,2024-09-06,CLI-0033,Mercearia,null,SP,1,,,193.81
234,2024-10-10,CLI-0054,Bebidas,Site,BA,8,146.62,11.89,1033.50
235,2024-03-27,CLI-0240,Limpeza,Loja,PE,2,,null,12.64
236,2024-08-17,CLI-0002,Bebidas,,BA,1,50.92,sem informacao,50.55
237,2024-06-17,CLI-0048,Limpeza,,BA,4,148.40,6.27,556.38
238,2024-10-20,CLI-0122,Mercearia,Site,SP,1,42.68,,41.93
239,2024-12-25,CLI-0007,Limpeza,Site,SP,1,65.46,0.00,65.46
240,2024-11-16,CLI-0004,Limpeza,App,CE,1,12.89,NULL,12.89
241,2024-04-16,CLI-0066,Hortifruti,Site,MG,3,1.90,1.96,5.59
242,2024-10-24,CLI-0003,Limpeza,Site,SC,2,155.87,2.52,303.88
243,25/01/2024,CLI-0082,Higiene,?,,4,4.03,6.29,15.11
244,2024-12-06,CLI-0043,Padaria,null,RS,3,13.79,,40.06
245,2024-04-25,CLI-0192,Bebidas,,SP,1,null,,163.04
246,2024-12-06,CLI-0246,Frios,Loja,RJ,10,9.13,,79.38
247,2024-05-01,CLI-0128,  Bebidas ,Site,BA,5,,,11.80
248,2024-08-24,CLI-0100,Limpeza,App,,3,N/A,1.73,166.13
249,2024-06-26,CLI-0227,Hortifruti,,,5,64.59,7.37,299.15
250,05/11/2024,CLI-0117,Bebidas,LOJA,PR,2,,2.91,101.42
251,2024-06-14,CLI-0159,Bebidas,Loja,SP,10,3.75,15.38,31.73
252,2024-09-08,CLI-0136,Frios,Site,SP,1,10.81,0.00,10.81
253,2024-01-15,CLI-0027,Frios,Site,SP,2,16.25,,31.81
254,2024-02-13,CLI-0182,Bebidas,,sp,1,2.73,0.00,2.73
255,2024-11-10,CLI-0106,Mercearia,App,BA,1,3.17,1.52,3.12
256,25/03/2024,CLI-0035,Frios,App,NULL,1,,1.74,8.32
257,2024-01-22,CLI-0080,Mercearia,Site,PB,4,39.50,5.04,150.04
258,2024-01-16,CLI-0236,Higiene,Loja,NULL,4,51.97,NULL,197.22
259,05/03/2024,CLI-0050,Hortifruti,,RJ,1,1.91,0.00,1.91
260,2024-06-30,CLI-0216,Padaria,Loja,RJ,1,-,,4.11
261,2024-10-01,CLI-0146,Hortifruti,App,SP,3,8.87,2.26,26.01
262,10/03/2024,CLI-0172,Frios,--,,3,52.58,1.50,155.37
263,2024-12-07,CLI-0136,Frios,Site,BA,2,117.72,0.56,234.12
264,2024-11-30,CLI-0018,Mercearia,Televendas,ES,4,170.31,4.88,648.00
265,2024-03-12,CLI-0153,Hortifruti,App,  RJ ,4,3.55,4.42,13.57
266,2024-09-17,CLI-0052,Higiene,App,PR,3,41.84,3.81,120.74
267,2024-09-07,CLI-0098,Frios,Loja,PR,3,11.72,3.98,33.76
268,2024-10-12,CLI-0026,Bebidas,,SP,1,174.40,0.71,173.16
269,2024-11-30,CLI-0175,Limpeza,Loja,,1,33.81,1.31,33.37
270,2024-12-21,CLI-0104,Frios,Site,NULL,2,,0.22,12.81
271,2024-10-28,CLI-0019,Mercearia,Site,SP,3,,3.96,20.43
272,2024-08-06,CLI-0175,Mercearia,NULL,PR,4,125.36,4.26,480.08
273,02/04/2024,CLI-0246,Mercearia,Loja,SP,2,141.38,1.38,278.86
274,2024-01-11,CLI-0105,Mercearia,Loja,SP,1,18.31,1.05,18.12
275,2024-01-31,CLI-0074,Higiene,App,,1,30.58,1.26,30.19
276,2024-09-30,CLI-0210,Padaria,Loja,BA,3,20.27,2.81,59.10
277,2024-09-11,CLI-0250,Mercearia,Televendas,RS,6,76.61,null,428.77
278,2024-01-11,CLI-0241,Padaria,Televendas,,3,1.51,3.96,4.35
279,03/06/2024,CLI-0031,Mercearia,Site,ES,2,NULL,1.28,308.93
280,2024-04-06,CLI-0193,Hortifruti,Site,,3,30.68,,87.87
281,2024-08-23,CLI-0044,Frios,Loja,PR,1,6.62,0.00,6.62
282,2024-01-29,CLI-0217,Higiene,Site,-,1,57.56,0.14,57.48
283,2024-03-19,CLI-0107,Bebidas,Loja,MG,3,115.26,2.56,336.93
284,2024-06-01,CLI-0060,Padaria,,SP,1,14.68,,14.68
285,2024-03-08,CLI-0077,Mercearia,App,RJ,2,--,,8.23
286,2024-02-06,CLI-0147,Frios,Loja,SP,1,28.47,0.00,28.47
287,2024-10-28,CLI-0178,Padaria,App,SC,1,1.52,,1.51
288,2024-03-18,CLI-0046 ,Padaria,App,RJ,5,7.38,,34.21
289,11/07/2024,CLI-0150,Bebidas,,SP,4,116.25,6.54,434.59
290,2024-05-15,CLI-0202,Limpeza,Site,?,5,31.72,5.05,150.59
291,2024-01-18,CLI-0058,Hortifruti,App,SP,3,,4.37,191.50
292,2024-05-11,CLI-0014,Hortifruti,Loja,SP,2,5.90,2.42,11.51
293,2024-05-27,CLI-0023,Padaria,Loja,ba,2,29.81,,58.63
294,2024-03-29,CLI-0109,Frios,Site,RJ,4,null,6.05,23.83
295,17/01/2024,CLI-0095,Mercearia,Site,PE,6,,7.21,16.92
296,2024-12-19,CLI-0062,Bebidas,N/A,PR,1,7.59,0.74,7.53
297,2024-06-13,CLI-0250,Limpeza,Loja,GO,3,89.52,4.64,256.10
298,2024-02-19,CLI-0115,Mercearia,Site,SP,1,,,35.82
299,2024-07-28,CLI-0096,Higiene,Loja,sp,3,88.94,2.60,259.88
300,2024-04-16,CLI-0075,Limpeza,Site,RJ,10,4.75,12.96,41.34
301,2024-09-11,CLI-0228,Frios,Loja,SP,4,16.17,4.11,62.02
302,2024-05-22,CLI-0075,Bebidas,Site,MA,2,80.22,1.82,157.52
303,2024-11-23,CLI-0225,Hortifruti,Loja,PA,2,35.33,,68.77
304,2024-03-30,CLI-0250,Mercearia,App,SP,2,13.62,0.79,27.02
305,2024-05-28,CLI-0079,Bebidas,loja,PR,3,,3.76,19.78
306,2024-08-11,CLI-0128,Frios,Site,--,1,N/A,0.00,92.23
307,2024-10-31,CLI-0088,Hortifruti,Site,,1,1.90,0.28,1.89
308,12/12/2024,CLI-0129,Limpeza,Site,,2,108.14,0.86,214.42
309,2024-10-23,CLI-0171,Bebidas,null,?,5,28.17,7.64,130.09
310,2024-01-31,CLI-0058,Limpeza,Televendas,SP,1,4.04,,4.01
311,2024-11-26,CLI-0096,Frios,Site,SP,1,99.14,0.00,99.14
312,2024-11-16,CLI-0047,Hortifruti,Loja,,2,10.20,0.54,20.29
313,2024-10-08,CLI-0163 ,Mercearia,Loja,SP,1,231.14,0.00,231.14
314,2024-10-25,CLI-0210,Frios,  App ,,1,6.00,1.57,5.91
315,2024-02-09,CLI-0122,Mercearia,App,SP,2,4.16,0.66,8.27
316,2024-09-01,CLI-0137,Bebidas,,ES,1,2.74,0.07,2.74
317,2024-02-23,CLI-0081,Padaria,App,RS,1,1.75,1.04,1.73
318,2024-10-26,CLI-0233,Mercearia,Loja,PB,1,159.67,0.00,159.67
319,2024-12-29,CLI-0012,Hortifruti,N/A,SP,1,NULL,0.00,3.63
320,2024-12-19,CLI-0133,Bebidas,Loja,MA,4,107.47,,414.75
321,2024-08-26,CLI-0018,Padaria,,PR,2,16.46,1.91,32.29
322,2024-02-16,CLI-0063,Mercearia ,Site,GO,1,16.37,1.69,16.09
323,2024-01-29,CLI-0076,Padaria,Loja,SC,1,1.50,0.00,1.50
324,2024-12-31,CLI-0012,Hortifruti,site,SP,4,,3.95,83.68
325,2024-08-11,CLI-0168,Frios,App,SP,1,,0.06,193.28
326,2024-09-19,CLI-0155,Limpeza,App,SP,1,null,1.79,150.48
327,2024-05-23,CLI-0018,Bebidas,,-,1,2.96,0.51,2.94
328,2024-03-20,CLI-0112,Mercearia,-,,2,90.82,,177.52
329,2024-12-23,CLI-0160,Mercearia,App,PE,2,42.99,0.21,85.80
330,16/11/2024,CLI-0197,Mercearia,Site,BA,2,,,376.47
331,2024-05-02,CLI-0181,Mercearia,Site,  SC ,2,33.90,0.91,67.18
332,2024-12-13,CLI-0094,Padaria,App,SP,2,,0.75,41.53
333,2024-01-17,CLI-0190 ,Padaria,Loja,SP,2,76.25,2.93,148.03
334,2024-11-21,CLI-0061,Bebidas,Loja,,2,103.34,3.36,199.74
335,2024-12-28,CLI-0148,Limpeza,Site,MG,1,100.45,1.18,99.26
336,2024-01-01,CLI-0071,Bebidas,,RJ,3,16.11,4.18,46.31
337,2024-02-13,CLI-0187,Bebidas,Loja,SP,5,22.40,,105.47
338,2024-04-01,CLI-0217,Limpeza,,SP,4,33.96,4.30,130.00
339,2024-01-26,CLI-0109,Mercearia,,SP,4,,6.33,25.63
340,2024-08-18,CLI-0233,Frios,,RS,4,27.20,3.59,104.89
341,18/02/2024,CLI-0219,Bebidas,Site,ES,2,76.10,0.00,152.20
342,2024-08-10,CLI-0127,Bebidas,Loja,BA,1,11.40,null,11.26
343,2024-08-10,  CLI-0199 ,Mercearia,Loja,,4,199.85,5.76,753.35
344,2024-09-02,CLI-0190,Limpeza,Loja,MG,4,84.00,,316.28
